jd,jd_norm,UTC
58331.42089999979,0.0,2018-08-01 10:06:05.760
58349.40023999987,17.979340000078082,2018-08-19 09:36:20.736
58358.369739999995,26.948840000201017,2018-08-28 08:52:25.536
58377.320940000005,45.90004000021145,2018-09-16 07:42:09.216
58384.301899999846,52.881000000052154,2018-09-23 07:14:44.160
58397.34282999998,65.92193000018597,2018-10-06 08:13:40.512
58407.3218299998,75.90093000000343,2018-10-16 07:43:26.112
58410.28973999992,78.86884000012651,2018-10-19 06:57:13.536
58412.230849999934,80.80995000014082,2018-10-21 05:32:25.440
58414.26998999994,82.84909000014886,2018-10-23 06:28:47.136
58429.30568000022,97.8847800004296,2018-11-07 07:20:10.752
58436.17054999992,104.7496500001289,2018-11-14 04:05:35.520
58437.179349999875,105.75845000008121,2018-11-15 04:18:15.840
58437.39980999986,105.97891000006348,2018-11-15 09:35:43.584
58438.2169900001,106.79609000030905,2018-11-16 05:12:27.936
58439.21160000004,107.79070000024512,2018-11-17 05:04:42.240
58439.3884800002,107.96758000040427,2018-11-17 09:19:24.672
58444.15867999988,112.73778000008315,2018-11-22 03:48:29.952
58449.1611899999,117.74029000010341,2018-11-27 03:52:06.816
58449.44449000014,118.0235900003463,2018-11-27 10:40:03.936
58450.19847999979,118.77757999999449,2018-11-28 04:45:48.672
58450.40293999994,118.98204000014812,2018-11-28 09:40:14.016
58453.54014000017,122.11924000037834,2018-12-01 12:57:48.096
58455.098280000035,123.6773800002411,2018-12-03 02:21:31.392
58455.51801000023,124.09711000043899,2018-12-03 12:25:56.064
58456.30201000022,124.88111000042409,2018-12-04 07:14:53.664
58462.38971999986,130.96882000006735,2018-12-10 09:21:11.808
58464.08148000017,132.66058000037447,2018-12-12 01:57:19.872
58465.19572000019,133.7748200003989,2018-12-13 04:41:50.208
58466.09682000009,134.6759200002998,2018-12-14 02:19:25.248
58470.39421000006,138.97331000026315,2018-12-18 09:27:39.744
58476.071510000154,144.65061000036076,2018-12-24 01:42:58.464
58476.406390000135,144.9854900003411,2018-12-24 09:45:12.096
58480.121009999886,148.70011000009254,2018-12-28 02:54:15.264
58483.48376999982,152.0628700000234,2018-12-31 11:36:37.728
58486.03604000015,154.61514000035822,2019-01-03 00:51:53.856
58487.19939999981,155.7785000000149,2019-01-04 04:47:08.160
58488.19589000009,156.77499000029638,2019-01-05 04:42:04.896
58489.207160000224,157.78626000043005,2019-01-06 04:58:18.624
58490.20612000022,158.78522000042722,2019-01-07 04:56:48.768
58491.32255000016,159.9016500003636,2019-01-08 07:44:28.320
58493.28232000023,161.86142000043765,2019-01-10 06:46:32.448
58495.36108999979,163.9401899999939,2019-01-12 08:39:58.176
58497.31897999998,165.8980800001882,2019-01-14 07:39:19.872
58501.2776899999,169.85679000010714,2019-01-18 06:39:52.416
58505.39166999981,173.97077000001445,2019-01-22 09:24:00.288
58506.410840000026,174.9899400002323,2019-01-23 09:51:36.576
58507.09524000017,175.6743400003761,2019-01-24 02:17:08.736
58507.27081000013,175.84991000033915,2019-01-24 06:29:57.984
58519.35019000014,187.92929000034928,2019-02-05 08:24:16.416
58522.2793800002,190.85848000040278,2019-02-08 06:42:18.432
58526.273159999866,194.85226000007242,2019-02-12 06:33:21.024
58531.065400000196,199.64450000040233,2019-02-17 01:34:10.560
58531.263170000166,199.84227000037208,2019-02-17 06:18:57.888
58534.05165999988,202.63076000008732,2019-02-20 01:14:23.424
