jd,UTC,jd_norm
2703842.6854687645,2014-09-15T16:25:42.295,0.0
2703877.8231972633,2014-10-20T19:39:50.996,35.13772849878296
2703877.9993114066,2014-10-20T23:53:26.156,35.31384264212102
2703998.8210126157,2015-02-18T19:37:57.013,156.13554385118186
2704028.3053152263,2015-03-20T07:19:01.737,185.61984646180645
2704051.226056247,2015-04-12T05:27:40.043,208.54058748250827
2704051.300113866,2015-04-12T07:14:19.118,208.61464510159567
2704152.16137106,2015-07-22T03:56:58.216,309.4759022956714
2704152.3374831616,2015-07-22T08:10:33.524,309.6520143970847
2704152.4115504576,2015-07-22T09:57:12.610,309.7260816930793
2704152.587660525,2015-07-22T14:10:47.738,309.90219176048413
2704152.661727003,2015-07-22T15:57:26.752,309.97625823831186
2704152.837835218,2015-07-22T20:11:01.715,310.15236645331606
2704156.5903460276,2015-07-26T14:14:21.155,313.9048772631213
2704156.8405215214,2015-07-26T20:14:35.103,314.15505275689065
2704157.090699932,2015-07-27T02:14:49.296,314.4052311675623
2704157.1647678474,2015-07-27T04:01:28.401,314.4792990828864
2704200.0559219294,2015-09-08T01:20:06.260,357.37045316491276
2704200.1299916212,2015-09-08T03:06:45.326,357.4445228567347
2704232.543225387,2015-10-10T12:57:48.398,389.8577566226013
2704232.6172939693,2015-10-10T14:44:27.411,389.9318252047524
2704253.0481754835,2015-10-31T01:02:48.121,410.36270671896636
2704253.12224277,2015-10-31T02:49:27.134,410.43677400564775
2704253.2983559603,2015-10-31T07:03:02.363,410.61288719577715
2704407.843393052,2016-04-02T20:15:35.653,565.1579242874868
2704426.2698002416,2016-04-21T06:31:39.366,583.5843314770609
2704426.343858726,2016-04-21T08:18:18.461,583.658389961347
2704524.9504883345,2016-07-28T22:52:40.368,682.2650195700116
2704538.632213736,2016-08-11T15:13:02.986,695.946744971443
2704538.706283003,2016-08-11T16:59:42.105,696.0208142385818
2704576.178963969,2016-09-18T04:15:53.043,733.493495204486
2704614.338487853,2016-10-26T08:01:11.604,771.6530190883204
2704614.412556909,2016-10-26T09:47:50.744,771.7270881445147
2704614.5886704098,2016-10-26T14:01:25.938,771.9032016452402
2704614.66273801,2016-10-26T15:48:04.954,771.9772692453116
2704626.4193343096,2016-11-07T09:56:33.936,783.7338655451313
2704626.5954428073,2016-11-07T14:10:08.902,783.9099740427919
2704626.6695095855,2016-11-07T15:56:47.933,783.9840408209711
2704626.845620763,2016-11-07T20:10:23.135,784.1601519985124
2704626.9196886816,2016-11-07T21:57:02.267,784.2342199170962
2704700.60949471,2017-01-20T14:30:24.939,857.9240259453654
2704700.6835544244,2017-01-20T16:17:04.045,857.9980856599286
2704700.8596459157,2017-01-20T20:30:39.177,858.1741771511734
2704700.933704338,2017-01-20T22:17:18.174,858.2482355735265
2704713.4388517714,2017-02-02T10:25:49.745,870.7533830069005
2704713.614939698,2017-02-02T14:39:24.788,870.9294709335081
2704713.6889980477,2017-02-02T16:26:03.870,871.0035292832181
2704787.6147439484,2017-04-17T14:47:56.133,944.9292751839384
2704787.688802112,2017-04-17T16:34:35.223,945.0033333473839
2704800.6186724426,2017-04-30T14:54:50.217,957.9332036781125
2704800.692731962,2017-04-30T16:41:29.341,958.0072631975636
2704899.4768063333,2017-08-07T11:29:40.116,1056.7913375687785
2704899.5508748456,2017-08-07T13:16:19.195,1056.8654060810804
2704918.7301020115,2017-08-26T17:32:17.734,1076.0446332469583
2704952.2856978048,2017-09-29T06:48:10.725,1109.600229040254
2705074.2872310677,2018-01-29T06:47:03.238,1231.6017623031512
2705074.4633215345,2018-01-29T11:00:38.431,1231.777852769941
2705074.5373792015,2018-01-29T12:47:17.425,1231.8519104369916
2705095.0386287505,2018-02-19T00:51:16.441,1252.3531599859707
2705095.2147163483,2018-02-19T05:04:51.658,1252.5292475838214
2705126.446319346,2018-03-22T10:42:17.083,1283.7608505813405
2705168.9780843225,2018-05-03T23:32:37.737,1326.2926155580208
2705169.1541785644,2018-05-04T03:46:13.134,1326.4687097999267
2705169.2282384112,2018-05-04T05:32:52.263,1326.5427696467377
2705169.404330932,2018-05-04T09:46:27.506,1326.7188621675596
2705169.478390104,2018-05-04T11:33:06.575,1326.7929213396274
2705169.654481138,2018-05-04T15:46:41.686,1326.9690123735927
2705169.728539735,2018-05-04T17:33:20.703,1327.0430709705688
2705169.904629524,2018-05-04T21:46:55.702,1327.2191607593559
2705170.154776441,2018-05-05T03:47:09.585,1327.4693076764233
2705171.9057940347,2018-05-06T21:48:45.652,1329.220325270202
2705172.1559421457,2018-05-07T03:48:59.587,1329.470473381225
2705172.230000801,2018-05-07T05:35:38.590,1329.5445320364088
2705172.4060919676,2018-05-07T09:49:13.663,1329.7206232030876
2705172.480151191,2018-05-07T11:35:52.714,1329.7946824263781
2705172.6562438174,2018-05-07T15:49:27.908,1329.970775052905
2705172.7303037,2018-05-07T17:36:07.014,1330.044834935572
2705172.980458627,2018-05-07T23:36:21.517,1330.2949898624793
2705274.7722809976,2018-08-17T18:34:04.325,1432.0868122330867
2705274.846349812,2018-08-17T20:20:43.377,1432.1608810476027
2705298.5208467576,2018-09-10T12:29:09.401,1455.8353779930621
2705328.3353326237,2018-10-10T07:58:20.747,1485.649863859173
2705449.5108436192,2019-02-08T12:10:02.373,1606.8253748547286
2705449.5849012244,2019-02-08T13:56:41.424,1606.8994324598461
2705475.0783934873,2019-03-06T01:50:20.791,1632.3929247227497
2705502.06649191,2019-04-02T01:36:36.291,1659.3810231452808
2705635.222787945,2019-08-13T05:23:18.561,1792.5373191805556
2705689.311578383,2019-10-06T07:24:37.930,1846.6261096186936
2705689.3856476815,2019-10-06T09:11:16.992,1846.7001789170317
