jd,UTC,jd_norm
2703841.183361586,2014-09-14T04:22:24.798,0.0
2703875.747228474,2014-10-18T17:50:06.130,34.56386688770726
2703875.821297483,2014-10-18T19:36:45.214,34.63793589686975
2703999.5013232203,2015-02-19T11:57:57.354,158.31796163413674
2703999.5753800883,2015-02-19T13:44:36.429,158.39201850211248
2704029.8069000277,2015-03-21T19:21:59.724,188.62353844149038
2704050.979995907,2015-04-11T23:33:52.839,209.79663432063535
2704051.054052846,2015-04-12T01:20:31.863,209.87069125985727
2704152.156861001,2015-07-22T03:50:29.703,310.9734994149767
2704152.3329748795,2015-07-22T08:04:05.062,311.14961329335347
2704152.4070431106,2015-07-22T09:50:44.186,311.22368152439594
2704152.5831558574,2015-07-22T14:04:19.442,311.3997942712158
2704152.6572236554,2015-07-22T15:50:58.527,311.4738620691933
2704152.833335476,2015-07-22T20:04:33.699,311.6499738898128
2704152.907402929,2015-07-22T21:51:12.752,311.7240413427353
2704153.0835140357,2015-07-23T02:04:47.858,311.9001524494961
2704153.157581234,2015-07-23T03:51:26.887,311.97421964770183
2704153.3336918456,2015-07-23T08:05:01.945,312.1503302594647
2704153.4077588827,2015-07-23T09:51:40.959,312.2243972965516
2704153.583869223,2015-07-23T14:05:15.989,312.40050763683394
2704153.6579361935,2015-07-23T15:51:54.995,312.4745746073313
2704153.8340464905,2015-07-23T20:05:30.017,312.6506849043071
2704153.9081134913,2015-07-23T21:52:09.024,312.7247519050725
2704154.0842239754,2015-07-24T02:05:44.058,312.90086238924414
2704154.1582911033,2015-07-24T03:52:23.073,312.974929517135
2704154.408469361,2015-07-24T09:52:37.173,313.2251077746041
2704154.5845809164,2015-07-24T14:06:12.291,313.4012193302624
2704154.658648594,2015-07-24T15:52:51.350,313.4752870076336
2704154.834761033,2015-07-24T20:06:26.540,313.65139944665134
2704155.084942682,2015-07-25T02:06:40.915,313.90158109599724
2704155.1590112946,2015-07-25T03:53:20.052,313.9756497084163
2704198.627576623,2015-09-06T15:03:04.161,357.44421503692865
2704232.5391177754,2015-10-10T12:51:19.907,391.3557561892085
2704232.6131864516,2015-10-10T14:37:58.917,391.42982486542314
2704250.1193455956,2015-10-28T02:44:59.070,408.9359840094112
2704250.2954567512,2015-10-28T06:58:34.083,409.1120951650664
2704250.369524934,2015-10-28T08:45:13.159,409.1861633476801
2704375.299005151,2016-03-01T07:07:56.944,534.1156435646117
2704409.5948502766,2016-04-04T14:18:27.139,568.4114886904135
2704425.5232332223,2016-04-20T12:37:06.041,584.3398716361262
2704425.597290943,2016-04-20T14:23:45.076,584.4139293567277
2704523.695603178,2016-07-27T16:45:42.099,682.5122415916994
2704523.8717171885,2016-07-27T20:59:17.360,682.688355602324
2704523.945784848,2016-07-27T22:45:56.388,682.7624232620001
2704537.6274931636,2016-08-10T15:06:10.809,696.4441315773875
2704537.7015620423,2016-08-10T16:52:49.859,696.5182004561648
2704574.6769593023,2016-09-16T16:12:43.199,733.4935977160931
2704616.586420187,2016-10-28T13:57:25.852,775.403058600612
2704616.8366044713,2016-10-28T19:57:40.400,775.6532428851351
2704616.9106731755,2016-10-28T21:44:19.531,775.7273115892895
2704617.0867869984,2016-10-29T01:57:54.803,775.9034254122525
2704617.1608552244,2016-10-29T03:44:33.895,775.9774936381727
2704617.336967987,2016-10-29T07:58:09.080,776.1536064008251
2704617.4110357994,2016-10-29T09:44:48.137,776.2276742132381
2704617.587147655,2016-10-29T13:58:23.249,776.4037860687822
2704617.6612151177,2016-10-29T15:45:02.278,776.4778535314836
2704617.8373262193,2016-10-29T19:58:37.329,776.6539646331221
